;;;Понедельник;Вторник;Среда;Четверг;Пятница;Суббота;;
;;;;;1 четверть;;;;;
;;;;;10_1;;;;;
1;9:00;9:45;Физкультура 0;Физкультура 0;ТМ,ММТ 105,203;Алгебра 312;Химия 400;Литература 403;;
2;9:55;10:40;ОБЖ 404;Литература 403;ТМ,ММТ 105,203;Алгебра 312;Русский язык 403;Литература 403;;
3;10:50;11:35;Физика 300;Литература 403;Физика 300;Физика 300;Геометрия 312;История 304;;
4;11:45;12:30;Физика 300;Обществознание 303;Физика 300;История 304;Геометрия 312;История 304;;
5;12:40;13:25;Английский 310,410;Алгебра 312;Английский 310,410;Биология 210;Русский язык 403;Алгебра 312;;
6;13:45;14:30;Английский 310,410;Геометрия 312;Английский 310,410;География 302;ТМ,ММТ 105,203;Алгебра 312;;
7;14:50;15:35;;;;;ТМ,ММТ 105,203;;;
;;;;;;;;;;
;;;;;10_2;;;;;
1;9:00;9:45;Алгебра 207;Английский 306,410;Физика 200;Физкультура 0;Английский 306,410;Физика 200;;
2;9:55;10:40;Алгебра 207;Английский 306,410;Физкультура 0;Обществознание 303;Английский 306,410;Геометрия 207;;
3;10:50;11:35;Физика 200;Обществознание 303;ТМ,ММТ 105,203;ОБЖ 404;Алгебра 207;Литература 403;;
4;11:45;12:30;Физика 200;Русский язык 403;ТМ,ММТ 105,203;Алгебра 207;Химия 400;Литература 403;;
5;12:40;13:25;Литература 403;Биология 210;История 304;Геометрия 207;Алгебра 207;История 304;;
6;13:45;14:30;Литература 403;Геометрия 207;История 304;ТМ,ММТ 105,203;Русский язык 403;География 302;;
7;14:50;15:35;;;;ТМ,ММТ 105,203;;;;
;;;;;;;;;;
;;;;;10_3;;;;;
1;9:00;9:45;Физика 300;Русский язык 403;Физика 300;Биология 210;Геометрия 312;Английский 305,410;;
2;9:55;10:40;Физика 300;Геометрия 312;Физика 300;Физика 300;Геометрия 312;Английский 305,410;;
3;10:50;11:35;Литература 403;Алгебра 312;Английский 305,410;История 304;Русский язык 403;Алгебра 312;;
4;11:45;12:30;Литература 403;ТПП 104,205;Английский 305,410;Алгебра 312;ТУР 204,205;Алгебра 312;;
5;12:40;13:25;Химия 400;ТПП 104,205;Физкультура 0;Физкультура 0;ТУР 204,205;Литература 403;;
6;13:45;14:30;ОБЖ 404;История 304;География 302;Алгебра 312;Обществознание 303;Литература 403;;
7;14:50;15:35;;;;История 304;;;;
;;;;;;;;;;
;;;;;10_4;;;;;
1;9:00;9:45;Литература 403;Геометрия 312;История 304;Физика 300;Русский язык 403;Алгебра 312;;
2;9:55;10:40;Литература 403;ТПП 104,205;История 304;История 304;ТУР 204,205;Алгебра 312;;
3;10:50;11:35;Английский 305,410;ТПП 104,205;Физкультура 0;Алгебра 312;ТУР 204,205;География 302;;
4;11:45;12:30;Английский 305,410;Алгебра 312;Химия 400;ОБЖ 404;Русский язык 403;Английский 305,410;;
5;12:40;13:25;Физика 300;Литература 403;Физика 300;Алгебра 312;Геометрия 312;Английский 305,410;;
6;13:45;14:30;Физика 300;Литература 403;Физика 300;Физкультура 0;Геометрия 312;Биология 210;;
7;14:50;15:35;;Обществознание 303;;;;;;
;;;;;;;;;;
;;;;;10_5;;;;;
1;9:00;9:45;Английский 305,410;Алгебра 207;Русский язык 313;История 304;Обществознание 303;Геометрия 207;;
2;9:55;10:40;Английский 305,410;Геометрия 207;Русский язык 313;Алгебра 207;Алгебра 207;Физика 200;;
3;10:50;11:35;Литература 313;Английский 305,410;История 304;Геометрия 207;Литература 313;Экономика 206;;
4;11:45;12:30;Литература 313;Английский 305,410;История 304;Физика 200;Литература 313;Экономика 206;;
5;12:40;13:25;Алгебра 207;Обществознание 303;Физкультура 0;Физика 200;Английский 305,410;Биология 210;;
6;13:45;14:30;Алгебра 207;Химия 400;ОБЖ 404;ТВП 204,205;Английский 305,410;История 304;;
7;14:50;15:35;;;География 302;ТВП 204,205;Физкультура 0;;;
;;;;;;;;;; 
;;;;;10_6;;;;;
1;9:00;9:45;Литература 313;Обществознание 303;Английский 305,410;Алгебра 207;Алгебра 207;История 304;;
2;9:55;10:40;Литература 313;Биология 210;Английский 305,410;География 302;Обществознание 303;История 304;;
3;10:50;11:35;Алгебра 207;Алгебра 207;Русский язык 313;ТВП 204,205;Английский 305,410;Геометрия 207;;
4;11:45;12:30;Алгебра 207;Геометрия 207;Русский язык 313;ТВП 204,205;Английский 305,410;Физика 200;;
5;12:40;13:25;Физика 200;Английский 305,410;ОБЖ 404;История 304;Литература 313;Экономика 206;;
6;13:45;14:30;Физика 200;Английский 305,410;Физкультура 0;Геометрия 207;Литература 313;Экономика 206;;
7;14:50;15:35;;История 304;;Физкультура 0;Химия 400;;;
